race_id,season,round,race_date,circuit_id
174,2000,17,2000-10-22,2
175,1999,1,1999-03-07,1
176,1999,2,1999-04-11,18
177,1999,3,1999-05-02,21
178,1999,4,1999-05-16,6
179,1999,5,1999-05-30,4
180,1999,6,1999-06-13,7
181,1999,7,1999-06-27,8
182,1999,8,1999-07-11,9
183,1999,9,1999-07-25,70
184,1999,10,1999-08-01,10
185,1999,11,1999-08-15,11
186,1999,12,1999-08-29,13
187,1999,13,1999-09-12,14
188,1999,14,1999-09-26,20
189,1999,15,1999-10-17,2
190,1999,16,1999-10-31,22
191,1998,1,1998-03-08,1
192,1998,2,1998-03-29,18
193,1998,3,1998-04-12,25
194,1998,4,1998-04-26,21
195,1998,5,1998-05-10,4
196,1998,6,1998-05-24,6
197,1998,7,1998-06-07,7
198,1998,8,1998-06-28,8
199,1998,9,1998-07-12,9
200,1998,10,1998-07-26,70
201,1998,11,1998-08-02,10
202,1998,12,1998-08-16,11
203,1998,13,1998-08-30,13
204,1998,14,1998-09-13,14
205,1998,15,1998-09-27,20
206,1998,16,1998-11-01,22
207,1997,1,1997-03-09,1
208,1997,2,1997-03-30,18
209,1997,3,1997-04-13,25
210,1997,4,1997-04-27,21
211,1997,5,1997-05-11,6
212,1997,6,1997-05-25,4
213,1997,7,1997-06-15,7
214,1997,8,1997-06-29,8
215,1997,9,1997-07-13,9
216,1997,10,1997-07-27,10
217,1997,11,1997-08-10,11
218,1997,12,1997-08-24,13
219,1997,13,1997-09-07,14
220,1997,14,1997-09-21,70
221,1997,15,1997-09-28,20
222,1997,16,1997-10-12,22
223,1997,17,1997-10-26,26
224,1996,1,1996-03-10,1
225,1996,2,1996-03-31,18
226,1996,3,1996-04-07,25
227,1996,4,1996-04-28,20
228,1996,5,1996-05-05,21
229,1996,6,1996-05-19,6
230,1996,7,1996-06-02,4
231,1996,8,1996-06-16,7
232,1996,9,1996-06-30,8
233,1996,10,1996-07-14,9
234,1996,11,1996-07-28,10
235,1996,12,1996-08-11,11
236,1996,13,1996-08-25,13
237,1996,14,1996-09-08,14
238,1996,15,1996-09-22,27
239,1996,16,1996-10-13,22
240,1995,1,1995-03-26,18
241,1995,2,1995-04-09,25
242,1995,3,1995-04-30,21
243,1995,4,1995-05-14,4
244,1995,5,1995-05-28,6
245,1995,6,1995-06-11,7
246,1995,7,1995-07-02,8
247,1995,8,1995-07-16,9
248,1995,9,1995-07-30,10
249,1995,10,1995-08-13,11
250,1995,11,1995-08-27,13
251,1995,12,1995-09-10,14
252,1995,13,1995-09-24,27
253,1995,14,1995-10-01,20
254,1995,15,1995-10-22,28
255,1995,16,1995-10-29,22
256,1995,17,1995-11-12,29
257,1994,1,1994-03-27,18
258,1994,2,1994-04-17,28
259,1994,3,1994-05-01,21
260,1994,4,1994-05-15,6
261,1994,5,1994-05-29,4
262,1994,6,1994-06-12,7
263,1994,7,1994-07-03,8
264,1994,8,1994-07-10,9
265,1994,9,1994-07-31,10
266,1994,10,1994-08-14,11
267,1994,11,1994-08-28,13
268,1994,12,1994-09-11,14
269,1994,13,1994-09-25,27
270,1994,14,1994-10-16,26
271,1994,15,1994-11-06,22
272,1994,16,1994-11-13,29
273,1993,1,1993-03-14,30
274,1993,2,1993-03-28,18
275,1993,3,1993-04-11,31
276,1993,4,1993-04-25,21
277,1993,5,1993-05-09,4
278,1993,6,1993-05-23,6
279,1993,7,1993-06-13,7
280,1993,8,1993-07-04,8
281,1993,9,1993-07-11,9
282,1993,10,1993-07-25,10
283,1993,11,1993-08-15,11
284,1993,12,1993-08-29,13
285,1993,13,1993-09-12,14
